,0
inst_93542 101 60,SLICE inst_93542 101 60
inst_71017 101 120,SLICE inst_71017 101 120
inst_35962 101 120,SLICE inst_35962 101 120
inst_53973 101 120,SLICE inst_53973 101 120
inst_39230 101 120,SLICE inst_39230 101 120
inst_7750 101 120,SLICE inst_7750 101 120
inst_8936 101 120,SLICE inst_8936 101 120
inst_31104 101 180,SLICE inst_31104 101 180
inst_69527 101 90,SLICE inst_69527 101 90
inst_94949 101 60,SLICE inst_94949 101 60
inst_10511 101 180,SLICE inst_10511 101 180
inst_21228 101 210,SLICE inst_21228 101 210
inst_63765 101 60,SLICE inst_63765 101 60
inst_96747 101 210,SLICE inst_96747 101 210
inst_103216 101 60,SLICE inst_103216 101 60
inst_66609 101 60,SLICE inst_66609 101 60
inst_28836 101 180,SLICE inst_28836 101 180
inst_77306 101 120,SLICE inst_77306 101 120
inst_12526 101 210,SLICE inst_12526 101 210
inst_79608 101 60,SLICE inst_79608 101 60
inst_57249 101 150,SLICE inst_57249 101 150
inst_33420 101 120,SLICE inst_33420 101 120
inst_58035 101 180,SLICE inst_58035 101 180
inst_80631 101 60,SLICE inst_80631 101 60
inst_13800 101 60,SLICE inst_13800 101 60
inst_81241 101 180,SLICE inst_81241 101 180
inst_97216 101 180,SLICE inst_97216 101 180
inst_75163 101 210,SLICE inst_75163 101 210
inst_60772 101 210,SLICE inst_60772 101 210
inst_40051 101 60,SLICE inst_40051 101 60
inst_53178 101 120,SLICE inst_53178 101 120
inst_9132 101 210,SLICE inst_9132 101 210
inst_93399 101 210,SLICE inst_93399 101 210
inst_53960 101 120,SLICE inst_53960 101 120
inst_10961 101 210,SLICE inst_10961 101 210
inst_80810 101 210,SLICE inst_80810 101 210
inst_33009 101 60,SLICE inst_33009 101 60
inst_17586 101 150,SLICE inst_17586 101 150
inst_71701 101 210,SLICE inst_71701 101 210
inst_62362 101 210,SLICE inst_62362 101 210
inst_4351 101 210,SLICE inst_4351 101 210
inst_20598 101 210,SLICE inst_20598 101 210
inst_44049 101 210,SLICE inst_44049 101 210
inst_74737 101 180,SLICE inst_74737 101 180
inst_97634 101 150,SLICE inst_97634 101 150
inst_4482 101 60,SLICE inst_4482 101 60
inst_22503 101 210,SLICE inst_22503 101 210
inst_104923 101 60,SLICE inst_104923 101 60
inst_54230 101 120,SLICE inst_54230 101 120
inst_33719 101 180,SLICE inst_33719 101 180
inst_14443 101 90,SLICE inst_14443 101 90
inst_31526 101 120,SLICE inst_31526 101 120
inst_964 101 120,SLICE inst_964 101 120
inst_34566 101 60,SLICE inst_34566 101 60
inst_1504 101 180,SLICE inst_1504 101 180
inst_79808 101 120,SLICE inst_79808 101 120
inst_19407 101 210,SLICE inst_19407 101 210
inst_71680 101 120,SLICE inst_71680 100 120
inst_57660 101 180,SLICE inst_57660 100 180
inst_61689 101 210,SLICE inst_61689 100 210
inst_20289 101 210,SLICE inst_20289 100 210
inst_41384 101 60,SLICE inst_41384 100 60
inst_6046 101 210,SLICE inst_6046 100 210
inst_43854 101 60,SLICE inst_43854 100 60
inst_71638 101 210,SLICE inst_71638 100 210
inst_82066 101 180,SLICE inst_82066 100 180
inst_59659 101 150,SLICE inst_59659 100 150
inst_15558 101 180,SLICE inst_15558 100 180
inst_40367 101 60,SLICE inst_40367 100 60
inst_7665 101 60,SLICE inst_7665 100 60
inst_91255 101 60,SLICE inst_91255 100 60
inst_90231 101 120,SLICE inst_90231 100 120
inst_79267 101 60,SLICE inst_79267 100 60
inst_46349 101 210,SLICE inst_46349 100 210
inst_68455 101 120,SLICE inst_68455 100 120
inst_3077 101 150,SLICE inst_3077 100 150
inst_66868 101 120,SLICE inst_66868 100 120
inst_18004 101 180,SLICE inst_18004 100 180
inst_66942 101 60,SLICE inst_66942 100 60
inst_53015 101 120,SLICE inst_53015 100 120
inst_91959 101 120,SLICE inst_91959 100 120
inst_73983 101 180,SLICE inst_73983 100 180
inst_77323 101 120,SLICE inst_77323 100 120
inst_97691 101 120,SLICE inst_97691 100 120
inst_23993 101 210,SLICE inst_23993 100 210
inst_77207 101 60,SLICE inst_77207 100 60
inst_731 101 210,SLICE inst_731 100 210
inst_104784 101 210,SLICE inst_104784 100 210
inst_53636 101 120,SLICE inst_53636 100 120
inst_68724 101 210,SLICE inst_68724 100 210
inst_13548 101 90,SLICE inst_13548 100 90
inst_60937 101 60,SLICE inst_60937 100 60
inst_26015 101 60,SLICE inst_26015 100 60
inst_83997 101 120,SLICE inst_83997 100 120
inst_40812 101 210,SLICE inst_40812 100 210
inst_89936 101 120,SLICE inst_89936 100 120
inst_86528 101 60,SLICE inst_86528 100 60
inst_14307 101 150,SLICE inst_14307 100 150
inst_83597 101 180,SLICE inst_83597 100 180
inst_27394 101 150,SLICE inst_27394 100 150
inst_3264 101 60,SLICE inst_3264 100 60
inst_65590 101 120,SLICE inst_65590 100 120
inst_64129 101 120,SLICE inst_64129 100 120
inst_94229 101 180,SLICE inst_94229 100 180
inst_10657 101 210,SLICE inst_10657 100 210
inst_44144 101 60,SLICE inst_44144 100 60
inst_103228 101 180,SLICE inst_103228 100 180
inst_98050 101 60,SLICE inst_98050 100 60
inst_98388 101 180,SLICE inst_98388 100 180
inst_77362 101 120,SLICE inst_77362 100 120
inst_39853 101 120,SLICE inst_39853 100 120
inst_45740 101 120,SLICE inst_45740 100 120
inst_80597 101 180,SLICE inst_80597 100 180
inst_56039 101 120,SLICE inst_56039 100 120
inst_62661 101 210,SLICE inst_62661 100 210
inst_38903 101 120,SLICE inst_38903 100 120
inst_57191 101 150,SLICE inst_57191 100 150
inst_43816 101 120,SLICE inst_43816 100 120
inst_74714 101 180,SLICE inst_74714 100 180
inst_19312 101 210,SLICE inst_19312 100 210
inst_72069 101 60,SLICE inst_72069 100 60
inst_48707 101 180,SLICE inst_48707 100 180
inst_9701 101 120,SLICE inst_9701 100 120
inst_15561 101 180,SLICE inst_15561 100 180
inst_67552 101 210,SLICE inst_67552 100 210
inst_3563 101 120,SLICE inst_3563 100 120
inst_9698 101 60,SLICE inst_9698 100 60
inst_60137 101 60,SLICE inst_60137 100 60
inst_51234 101 210,SLICE inst_51234 100 210
inst_26837 101 180,SLICE inst_26837 100 180
inst_66581 101 60,SLICE inst_66581 100 60
inst_90585 101 150,SLICE inst_90585 100 150
inst_54011 101 120,SLICE inst_54011 100 120
inst_14692 101 90,SLICE inst_14692 100 90
inst_22530 101 210,SLICE inst_22530 100 210
inst_93488 101 120,SLICE inst_93488 100 120
inst_84693 101 60,SLICE inst_84693 100 60
inst_75334 101 210,SLICE inst_75334 100 210
inst_10899 101 60,SLICE inst_10899 100 60
inst_90573 101 150,SLICE inst_90573 100 150
inst_87313 101 180,SLICE inst_87313 100 180
inst_16738 101 210,SLICE inst_16738 100 210
inst_38651 101 210,SLICE inst_38651 100 210
inst_85035 101 210,SLICE inst_85035 100 210
inst_13972 101 210,SLICE inst_13972 100 210
inst_51962 101 210,SLICE inst_51962 100 210
inst_75066 101 210,SLICE inst_75066 100 210
inst_74453 101 180,SLICE inst_74453 100 180
inst_77366 101 180,SLICE inst_77366 100 180
inst_29486 101 180,SLICE inst_29486 100 180
inst_16637 101 150,SLICE inst_16637 100 150
inst_88549 101 120,SLICE inst_88549 100 120
inst_53550 101 120,SLICE inst_53550 100 120
inst_25733 101 60,SLICE inst_25733 100 60
inst_37387 101 210,SLICE inst_37387 100 210
inst_73773 101 180,SLICE inst_73773 100 180
inst_50467 101 120,SLICE inst_50467 100 120
inst_11074 101 180,SLICE inst_11074 100 180
inst_50939 101 210,SLICE inst_50939 100 210
inst_60160 101 60,SLICE inst_60160 100 60
inst_88980 101 120,SLICE inst_88980 100 120
inst_28165 101 210,SLICE inst_28165 100 210
inst_51759 101 210,SLICE inst_51759 100 210
inst_58677 101 180,SLICE inst_58677 100 180
inst_16945 101 120,SLICE inst_16945 100 120
inst_5271 101 180,SLICE inst_5271 100 180
inst_31122 101 180,SLICE inst_31122 100 180
inst_54156 101 120,SLICE inst_54156 100 120
inst_104934 101 120,SLICE inst_104934 100 120
inst_64177 101 60,SLICE inst_64177 100 60
inst_102162 101 210,SLICE inst_102162 100 210
inst_90359 101 120,SLICE inst_90359 98 120
inst_77930 101 120,SLICE inst_77930 98 120
inst_9179 101 120,SLICE inst_9179 98 120
inst_69918 101 120,SLICE inst_69918 98 120
inst_68612 101 180,SLICE inst_68612 98 180
inst_859 101 180,SLICE inst_859 98 180
inst_88852 101 150,SLICE inst_88852 98 150
inst_85017 101 150,SLICE inst_85017 98 150
inst_84451 101 210,SLICE inst_84451 98 210
inst_16382 101 210,SLICE inst_16382 98 210
inst_26710 101 150,SLICE inst_26710 98 150
inst_67025 101 60,SLICE inst_67025 98 60
inst_65799 101 60,SLICE inst_65799 98 60
inst_74788 101 180,SLICE inst_74788 98 180
inst_10957 101 60,SLICE inst_10957 98 60
inst_42732 101 180,SLICE inst_42732 98 180
inst_75062 101 210,SLICE inst_75062 98 210
inst_104178 101 60,SLICE inst_104178 98 60
inst_91150 101 210,SLICE inst_91150 98 210
inst_5226 101 120,SLICE inst_5226 98 120
inst_76337 101 120,SLICE inst_76337 98 120
inst_13630 101 60,SLICE inst_13630 98 60
inst_96084 101 150,SLICE inst_96084 98 150
inst_102112 101 210,SLICE inst_102112 98 210
inst_5192 101 150,SLICE inst_5192 98 150
inst_19110 101 90,SLICE inst_19110 98 90
inst_8652 101 210,SLICE inst_8652 98 210
inst_70694 101 210,SLICE inst_70694 98 210
inst_3418 101 150,SLICE inst_3418 98 150
inst_97148 101 120,SLICE inst_97148 98 120
inst_96119 101 150,SLICE inst_96119 98 150
inst_51939 101 180,SLICE inst_51939 98 180
inst_55762 101 120,SLICE inst_55762 98 120
inst_5269 101 60,SLICE inst_5269 98 60
inst_78319 101 120,SLICE inst_78319 98 120
inst_35294 101 120,SLICE inst_35294 98 120
inst_52053 101 180,SLICE inst_52053 98 180
inst_91609 101 210,SLICE inst_91609 98 210
inst_77981 101 150,SLICE inst_77981 98 150
inst_4864 101 210,SLICE inst_4864 98 210
inst_103176 101 120,SLICE inst_103176 98 120
inst_18281 101 90,SLICE inst_18281 98 90
inst_70280 101 120,SLICE inst_70280 98 120
inst_38326 101 60,SLICE inst_38326 98 60
inst_47748 101 60,SLICE inst_47748 98 60
inst_50011 101 120,SLICE inst_50011 98 120
inst_78828 101 120,SLICE inst_78828 98 120
inst_1059 101 60,SLICE inst_1059 98 60
inst_73140 101 90,SLICE inst_73140 98 90
inst_73372 101 120,SLICE inst_73372 98 120
inst_55954 101 120,SLICE inst_55954 98 120
inst_15353 101 60,SLICE inst_15353 98 60
inst_60088 101 180,SLICE inst_60088 98 180
inst_94298 101 150,SLICE inst_94298 98 150
inst_96017 101 210,SLICE inst_96017 98 210
inst_53339 101 120,SLICE inst_53339 98 120
inst_76952 101 120,SLICE inst_76952 98 120
inst_70770 101 180,SLICE inst_70770 98 180
inst_10121 101 60,SLICE inst_10121 98 60
inst_14717 101 90,SLICE inst_14717 98 90
inst_88901 101 150,SLICE inst_88901 98 150
inst_87808 101 120,SLICE inst_87808 98 120
inst_48143 101 60,SLICE inst_48143 98 60
inst_54574 101 120,SLICE inst_54574 98 120
inst_59695 101 210,SLICE inst_59695 98 210
inst_63254 101 120,SLICE inst_63254 98 120
inst_56326 101 120,SLICE inst_56326 98 120
inst_92142 101 120,SLICE inst_92142 98 120
inst_58055 101 180,SLICE inst_58055 98 180
inst_104764 101 210,SLICE inst_104764 98 210
inst_86315 101 150,SLICE inst_86315 98 150
inst_31387 101 210,SLICE inst_31387 98 210
inst_46715 101 120,SLICE inst_46715 98 120
inst_95051 101 180,SLICE inst_95051 98 180
inst_610 101 210,SLICE inst_610 98 210
inst_11517 101 210,SLICE inst_11517 98 210
inst_79072 101 180,SLICE inst_79072 98 180
inst_19668 101 210,SLICE inst_19668 98 210
inst_99347 101 150,SLICE inst_99347 98 150
inst_61511 101 60,SLICE inst_61511 98 60
inst_30152 101 60,SLICE inst_30152 98 60
inst_81759 101 180,SLICE inst_81759 98 180
inst_74291 101 180,SLICE inst_74291 98 180
inst_9046 101 60,SLICE inst_9046 98 60
inst_36476 101 180,SLICE inst_36476 98 180
inst_90776 101 150,SLICE inst_90776 98 150
inst_75679 101 180,SLICE inst_75679 98 180
inst_5625 101 210,SLICE inst_5625 98 210
inst_69334 101 60,SLICE inst_69334 98 60
inst_72848 101 90,SLICE inst_72848 98 90
inst_27085 101 150,SLICE inst_27085 98 150
inst_51527 101 120,SLICE inst_51527 98 120
inst_79806 101 120,SLICE inst_79806 98 120
inst_3721 101 60,SLICE inst_3721 98 60
inst_51478 101 210,SLICE inst_51478 98 210
inst_87732 101 150,SLICE inst_87732 98 150
inst_31268 101 60,SLICE inst_31268 98 60
inst_57271 101 210,SLICE inst_57271 98 210
inst_6453 101 210,SLICE inst_6453 98 210
inst_94962 101 180,SLICE inst_94962 98 180
inst_50389 101 180,SLICE inst_50389 98 180
inst_103795 101 180,SLICE inst_103795 98 180
inst_61274 101 60,SLICE inst_61274 98 60
inst_30195 101 180,SLICE inst_30195 98 180
inst_27817 101 120,SLICE inst_27817 98 120
inst_33787 101 180,SLICE inst_33787 98 180
inst_103190 101 120,SLICE inst_103190 98 120
inst_2430 101 90,SLICE inst_2430 98 90
inst_37544 101 180,SLICE inst_37544 98 180
inst_29250 101 210,SLICE inst_29250 98 210
inst_64839 101 90,SLICE inst_64839 98 90
inst_74777 101 120,SLICE inst_74777 98 120
inst_72096 101 90,SLICE inst_72096 98 90
inst_10194 101 60,SLICE inst_10194 98 60
inst_58436 101 180,SLICE inst_58436 98 180
inst_30415 101 90,SLICE inst_30415 98 90
inst_14397 101 180,SLICE inst_14397 98 180
inst_41958 101 120,SLICE inst_41958 98 120
inst_47431 101 60,SLICE inst_47431 98 60
inst_15525 101 150,SLICE inst_15525 98 150
inst_76550 101 210,SLICE inst_76550 98 210
inst_25606 101 210,SLICE inst_25606 98 210
inst_67408 101 210,SLICE inst_67408 98 210
inst_46512 101 210,SLICE inst_46512 98 210
inst_36652 101 180,SLICE inst_36652 98 180
inst_101949 101 60,SLICE inst_101949 98 60
inst_15336 101 60,SLICE inst_15336 98 60
inst_12676 101 60,SLICE inst_12676 98 60
inst_72252 101 210,SLICE inst_72252 98 210
inst_24117 101 120,SLICE inst_24117 97 120
inst_49397 101 150,SLICE inst_49397 97 150
inst_57718 101 60,SLICE inst_57718 97 60
inst_74927 101 210,SLICE inst_74927 97 210
inst_66664 101 210,SLICE inst_66664 97 210
inst_34387 101 210,SLICE inst_34387 97 210
inst_98968 101 150,SLICE inst_98968 97 150
inst_55943 101 120,SLICE inst_55943 97 120
inst_44407 101 180,SLICE inst_44407 97 180
inst_5412 101 210,SLICE inst_5412 97 210
inst_23563 101 60,SLICE inst_23563 97 60
inst_93367 101 60,SLICE inst_93367 97 60
inst_604 101 210,SLICE inst_604 97 210
inst_35866 101 60,SLICE inst_35866 97 60
inst_91511 101 210,SLICE inst_91511 97 210
inst_65625 101 90,SLICE inst_65625 97 90
inst_97282 101 180,SLICE inst_97282 97 180
inst_94662 101 180,SLICE inst_94662 97 180
inst_39986 101 60,SLICE inst_39986 97 60
inst_8246 101 120,SLICE inst_8246 97 120
inst_72916 101 120,SLICE inst_72916 97 120
inst_35306 101 60,SLICE inst_35306 97 60
inst_85088 101 150,SLICE inst_85088 97 150
inst_32269 101 60,SLICE inst_32269 97 60
inst_59554 101 60,SLICE inst_59554 97 60
inst_95054 101 180,SLICE inst_95054 97 180
inst_64898 101 120,SLICE inst_64898 97 120
inst_79160 101 120,SLICE inst_79160 97 120
inst_64886 101 90,SLICE inst_64886 97 90
inst_5573 101 120,SLICE inst_5573 97 120
inst_29084 101 180,SLICE inst_29084 97 180
inst_76485 101 120,SLICE inst_76485 97 120
inst_70799 101 120,SLICE inst_70799 97 120
inst_31000 101 180,SLICE inst_31000 97 180
inst_69865 101 60,SLICE inst_69865 97 60
inst_90938 101 180,SLICE inst_90938 97 180
inst_84845 101 150,SLICE inst_84845 97 150
inst_69437 101 120,SLICE inst_69437 97 120
inst_60706 101 60,SLICE inst_60706 97 60
inst_86576 101 150,SLICE inst_86576 97 150
inst_40259 101 180,SLICE inst_40259 97 180
inst_99789 101 150,SLICE inst_99789 97 150
inst_91741 101 120,SLICE inst_91741 97 120
inst_103785 101 180,SLICE inst_103785 97 180
inst_58918 101 60,SLICE inst_58918 97 60
inst_103827 101 60,SLICE inst_103827 97 60
inst_98000 101 180,SLICE inst_98000 97 180
inst_22110 101 210,SLICE inst_22110 97 210
inst_101845 101 60,SLICE inst_101845 97 60
inst_70411 101 180,SLICE inst_70411 97 180
inst_99216 101 120,SLICE inst_99216 97 120
inst_31492 101 120,SLICE inst_31492 97 120
inst_48050 101 60,SLICE inst_48050 97 60
inst_37471 101 60,SLICE inst_37471 97 60
inst_36670 101 180,SLICE inst_36670 97 180
inst_75116 101 210,SLICE inst_75116 97 210
inst_18873 101 210,SLICE inst_18873 97 210
inst_87593 101 180,SLICE inst_87593 97 180
inst_75287 101 210,SLICE inst_75287 97 210
inst_81988 101 180,SLICE inst_81988 97 180
inst_87935 101 180,SLICE inst_87935 97 180
inst_66290 101 90,SLICE inst_66290 97 90
inst_53798 101 120,SLICE inst_53798 97 120
inst_49858 101 150,SLICE inst_49858 97 150
inst_66192 101 180,SLICE inst_66192 97 180
inst_6505 101 60,SLICE inst_6505 97 60
inst_6737 101 120,SLICE inst_6737 97 120
inst_67338 101 90,SLICE inst_67338 97 90
inst_83387 101 180,SLICE inst_83387 97 180
inst_74956 101 210,SLICE inst_74956 97 210
inst_56464 101 180,SLICE inst_56464 97 180
inst_28686 101 180,SLICE inst_28686 97 180
inst_47498 101 60,SLICE inst_47498 97 60
inst_101004 101 60,SLICE inst_101004 97 60
inst_24408 101 180,SLICE inst_24408 97 180
inst_26673 101 150,SLICE inst_26673 97 150
inst_46128 101 120,SLICE inst_46128 97 120
inst_100407 101 150,SLICE inst_100407 97 150
inst_83447 101 60,SLICE inst_83447 97 60
inst_71039 101 120,SLICE inst_71039 97 120
inst_47319 101 60,SLICE inst_47319 97 60
inst_20020 101 60,SLICE inst_20020 97 60
inst_32588 101 180,SLICE inst_32588 97 180
inst_29719 101 150,SLICE inst_29719 97 150
inst_13956 101 60,SLICE inst_13956 97 60
inst_53295 101 120,SLICE inst_53295 97 120
inst_38729 101 210,SLICE inst_38729 97 210
inst_31513 101 180,SLICE inst_31513 97 180
inst_44305 101 210,SLICE inst_44305 97 210
inst_2173 101 210,SLICE inst_2173 97 210
inst_85102 101 210,SLICE inst_85102 97 210
inst_5849 101 180,SLICE inst_5849 97 180
inst_51689 101 60,SLICE inst_51689 97 60
inst_99535 101 150,SLICE inst_99535 97 150
inst_19947 101 210,SLICE inst_19947 97 210
inst_76770 101 90,SLICE inst_76770 97 90
inst_2811 101 210,SLICE inst_2811 97 210
inst_53856 101 120,SLICE inst_53856 97 120
inst_51105 101 210,SLICE inst_51105 97 210
inst_9493 101 120,SLICE inst_9493 97 120
inst_47245 101 210,SLICE inst_47245 97 210
inst_64739 101 120,SLICE inst_64739 97 120
inst_83877 101 120,SLICE inst_83877 97 120
inst_20059 101 210,SLICE inst_20059 97 210
inst_18435 101 60,SLICE inst_18435 97 60
inst_3454 101 60,SLICE inst_3454 97 60
inst_27485 101 210,SLICE inst_27485 97 210
inst_39316 101 120,SLICE inst_39316 97 120
inst_46918 101 210,SLICE inst_46918 97 210
inst_57436 101 180,SLICE inst_57436 97 180
inst_40050 101 60,SLICE inst_40050 97 60
inst_10804 101 60,SLICE inst_10804 97 60
inst_80716 101 210,SLICE inst_80716 97 210
inst_60636 101 210,SLICE inst_60636 97 210
inst_84445 101 60,SLICE inst_84445 97 60
inst_46547 101 210,SLICE inst_46547 97 210
inst_6607 101 120,SLICE inst_6607 97 120
inst_63896 101 60,SLICE inst_63896 97 60
inst_81692 101 60,SLICE inst_81692 97 60
inst_11539 101 120,SLICE inst_11539 97 120
inst_63500 101 120,SLICE inst_63500 97 120
inst_244 101 180,SLICE inst_244 97 180
inst_80457 101 150,SLICE inst_80457 97 150
inst_11133 101 180,SLICE inst_11133 97 180
inst_53140 101 120,SLICE inst_53140 97 120
inst_53250 101 120,SLICE inst_53250 97 120
inst_85262 101 150,SLICE inst_85262 97 150
inst_36704 101 120,SLICE inst_36704 97 120
inst_18669 101 180,SLICE inst_18669 97 180
inst_90223 101 120,SLICE inst_90223 97 120
inst_85453 101 150,SLICE inst_85453 97 150
inst_84274 101 60,SLICE inst_84274 105 60
inst_74596 101 210,SLICE inst_74596 105 210
inst_60649 101 60,SLICE inst_60649 105 60
inst_66804 101 120,SLICE inst_66804 105 120
inst_14728 101 90,SLICE inst_14728 105 90
inst_96241 101 120,SLICE inst_96241 105 120
inst_32075 101 210,SLICE inst_32075 105 210
inst_54089 101 120,SLICE inst_54089 105 120
inst_19928 101 210,SLICE inst_19928 105 210
inst_88346 101 120,SLICE inst_88346 105 120
inst_40315 101 60,SLICE inst_40315 105 60
inst_20301 101 210,SLICE inst_20301 105 210
inst_25631 101 60,SLICE inst_25631 105 60
inst_19707 101 60,SLICE inst_19707 105 60
inst_89745 101 120,SLICE inst_89745 105 120
inst_69162 101 180,SLICE inst_69162 105 180
inst_14294 101 150,SLICE inst_14294 105 150
inst_84734 101 210,SLICE inst_84734 105 210
inst_68301 101 120,SLICE inst_68301 105 120
inst_13802 101 60,SLICE inst_13802 105 60
inst_72372 101 60,SLICE inst_72372 105 60
inst_2692 101 210,SLICE inst_2692 105 210
inst_12424 101 150,SLICE inst_12424 105 150
inst_85665 101 150,SLICE inst_85665 105 150
inst_57674 101 180,SLICE inst_57674 105 180
inst_44557 101 120,SLICE inst_44557 105 120
inst_81074 101 150,SLICE inst_81074 105 150
inst_64037 101 120,SLICE inst_64037 105 120
inst_88807 101 150,SLICE inst_88807 105 150
inst_40412 101 60,SLICE inst_40412 105 60
inst_6472 101 180,SLICE inst_6472 105 180
inst_10844 101 120,SLICE inst_10844 105 120
inst_89286 101 210,SLICE inst_89286 105 210
inst_18504 101 120,SLICE inst_18504 105 120
inst_37769 101 120,SLICE inst_37769 105 120
inst_7507 101 210,SLICE inst_7507 105 210
inst_41293 101 210,SLICE inst_41293 105 210
inst_14218 101 60,SLICE inst_14218 105 60
inst_79879 101 120,SLICE inst_79879 105 120
inst_34390 101 180,SLICE inst_34390 105 180
inst_31902 101 120,SLICE inst_31902 105 120
inst_95501 101 150,SLICE inst_95501 105 150
inst_82606 101 180,SLICE inst_82606 105 180
inst_8269 101 180,SLICE inst_8269 105 180
inst_14381 101 180,SLICE inst_14381 105 180
inst_96888 101 180,SLICE inst_96888 105 180
inst_84748 101 60,SLICE inst_84748 105 60
inst_28880 101 180,SLICE inst_28880 105 180
inst_62657 101 210,SLICE inst_62657 105 210
inst_7539 101 60,SLICE inst_7539 105 60
inst_13667 101 120,SLICE inst_13667 105 120
inst_21662 101 210,SLICE inst_21662 105 210
inst_90974 101 120,SLICE inst_90974 105 120
inst_36385 101 210,SLICE inst_36385 105 210
inst_75166 101 210,SLICE inst_75166 105 210
inst_98610 101 120,SLICE inst_98610 105 120
inst_80251 101 210,SLICE inst_80251 105 210
inst_6480 101 210,SLICE inst_6480 105 210
inst_12360 101 60,SLICE inst_12360 105 60
inst_78367 101 120,SLICE inst_78367 105 120
inst_92999 101 120,SLICE inst_92999 105 120
inst_93498 101 120,SLICE inst_93498 105 120
inst_48994 101 60,SLICE inst_48994 105 60
inst_52261 101 210,SLICE inst_52261 105 210
inst_32180 101 60,SLICE inst_32180 105 60
inst_4020 101 90,SLICE inst_4020 105 90
inst_60072 101 180,SLICE inst_60072 105 180
inst_102998 101 180,SLICE inst_102998 105 180
inst_53565 101 120,SLICE inst_53565 105 120
inst_75034 101 210,SLICE inst_75034 105 210
inst_53962 101 120,SLICE inst_53962 105 120
inst_12093 101 60,SLICE inst_12093 105 60
inst_66353 101 180,SLICE inst_66353 105 180
inst_42114 101 210,SLICE inst_42114 105 210
inst_23847 101 150,SLICE inst_23847 105 150
inst_11943 101 60,SLICE inst_11943 105 60
inst_20206 101 210,SLICE inst_20206 105 210
inst_45323 101 180,SLICE inst_45323 105 180
inst_93146 101 120,SLICE inst_93146 105 120
inst_26062 101 150,SLICE inst_26062 105 150
inst_61141 101 210,SLICE inst_61141 105 210
inst_48222 101 60,SLICE inst_48222 105 60
inst_72661 101 120,SLICE inst_72661 105 120
inst_90132 101 150,SLICE inst_90132 105 150
inst_40890 101 60,SLICE inst_40890 105 60
inst_57863 101 180,SLICE inst_57863 105 180
inst_86364 101 150,SLICE inst_86364 105 150
inst_51774 101 120,SLICE inst_51774 105 120
inst_43517 101 180,SLICE inst_43517 105 180
inst_33221 101 120,SLICE inst_33221 105 120
inst_97064 101 120,SLICE inst_97064 105 120
inst_81620 101 60,SLICE inst_81620 105 60
inst_87863 101 60,SLICE inst_87863 105 60
inst_4783 101 150,SLICE inst_4783 105 150
inst_26802 101 60,SLICE inst_26802 105 60
inst_77592 101 120,SLICE inst_77592 105 120
